x_cm,C_final,B_bound,I_internal,E_epi
0,0.49793996,0.56576403,1.0819846,0.1866205
0.0055865922,0.49806084,0.56583072,1.0818389,0.18650401
0.011173184,0.49818193,0.56589748,1.0816933,0.18638758
0.016759777,0.49830322,0.5659643,1.0815475,0.18627118
0.022346369,0.49842471,0.56603119,1.0814017,0.18615478
0.027932961,0.4985464,0.56609815,1.0812557,0.1860384
0.033519553,0.4986683,0.56616518,1.0811096,0.18592203
0.039106145,0.49879039,0.56623228,1.0809634,0.18580566
0.044692737,0.4989127,0.56629944,1.0808171,0.1856893
0.05027933,0.4990352,0.56636667,1.0806706,0.18557295
0.055865922,0.49915791,0.56643396,1.080524,0.18545661
0.061452514,0.49928083,0.56650133,1.0803773,0.18534027
0.067039106,0.49940394,0.56656876,1.0802305,0.18522394
0.072625698,0.49952726,0.56663626,1.0800836,0.18510762
0.078212291,0.49965079,0.56670382,1.0799365,0.1849913
0.083798883,0.49977452,0.56677146,1.0797893,0.18487499
0.089385475,0.49989846,0.56683916,1.079642,0.18475869
0.094972067,0.5000226,0.56690693,1.0794945,0.1846424
0.10055866,0.50014694,0.56697476,1.079347,0.18452611
0.10614525,0.50027149,0.56704266,1.0791993,0.18440982
0.11173184,0.50039625,0.56711063,1.0790515,0.18429355
0.11731844,0.50052121,0.56717867,1.0789035,0.18417728
0.12290503,0.50064638,0.56724678,1.0787554,0.18406101
0.12849162,0.50077176,0.56731495,1.0786072,0.18394476
0.13407821,0.50089734,0.56738319,1.0784589,0.18382851
0.1396648,0.50102313,0.5674515,1.0783105,0.18371227
0.1452514,0.50114913,0.56751987,1.0781619,0.18359603
0.15083799,0.50127533,0.56758831,1.0780132,0.1834798
0.15642458,0.50140174,0.56765682,1.0778644,0.18336358
0.16201117,0.50152836,0.5677254,1.0777154,0.18324736
0.16759777,0.50165519,0.56779404,1.0775663,0.18313115
0.17318436,0.50178222,0.56786275,1.0774171,0.18301495
0.17877095,0.50190947,0.56793153,1.0772678,0.18289875
0.18435754,0.50203692,0.56800038,1.0771183,0.18278257
0.18994413,0.50216458,0.56806929,1.0769688,0.18266638
0.19553073,0.50229245,0.56813828,1.076819,0.18255021
0.20111732,0.50242053,0.56820732,1.0766692,0.18243404
0.20670391,0.50254882,0.56827644,1.0765192,0.18231788
0.2122905,0.50267732,0.56834563,1.0763691,0.18220172
