study_id,year,title,capsids,species,route,readout,timepoint,key_use,major_limit,url
zincarelli_2008,2008,Analysis of AAV serotypes 1-9 mediated gene expression and tropism in mice after systemic injection,AAV1-AAV9,male mouse,tail-vein IV,whole-animal luciferase plus organ vector genomes and protein,7-100 d,Same-cassette head-to-head natural-serotype baseline; AAV9 broadest; AAV4 lung and kidney; AAV6 heart liver muscle,Single sex and mouse-only; promoter and assay affect apparent tropism,https://pubmed.ncbi.nlm.nih.gov/18414476/
seo_2020,2020,Positron emission tomography imaging of novel AAV capsids maps rapid brain accumulation,AAV9; AAV9-TC; PHP.eB,mouse,IV,64Cu PET plus qPCR,0-21 h,Separates early blood/capsid PK and shows PHP.eB brain uptake in permissive mice,PHP.eB depends on mouse Ly6a background and does not directly translate to primates,https://pmc.ncbi.nlm.nih.gov/articles/PMC7193641/
ballon_2020,2020,Quantitative Whole-Body Imaging of I-124-Labeled Adeno-Associated Viral Vector Biodistribution in Nonhuman Primates,AAV9; AAVrh.10,NHP,IV and intracisternal,I-124 PET compartmental modeling,1-72 h,Closest-species quantitative early organ distribution and half-life source,Very small animal count; radiolabel signal is capsid fate rather than functional transduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC7769048/
liu_2024,2024,Whole-Body Disposition and Physiologically Based Pharmacokinetic Modeling of Adeno-Associated Viruses and the Transgene Product,AAV8; AAV9,mouse,IV,vector DNA plus transgene product with PBPK fitting,0-3 weeks,Mechanistic PBPK benchmark linking tissue vector PK to intracellular processing and expression,Only two capsids and a secreted antibody cassette; fitted receptor terms are not universal,https://doi.org/10.1016/j.xphs.2023.10.005
wang_2024,2024,A novel approach to quantitate biodistribution and transduction of adeno-associated virus gene therapy using radiolabeled AAV vectors in mice,AAV9; PHP.eB,C57BL/6 mouse,IV,125I extracellular/intact-proxy plus residualizing 111In uptake,4 h-7 d,Direct multi-organ early time courses used for AAV9 apparent half-life fits,Dual labels measure tracer-associated capsid/catabolite fate rather than expression persistence,https://pmc.ncbi.nlm.nih.gov/articles/PMC11404148/
walkey_2025,2025,A comprehensive atlas of AAV tropism in the mouse,AAV3B; AAV4-AAV9; rh8; rh10; rh74,male and female mouse,IV,organ qPCR plus ZsGreen and Cre-tdTomato imaging,4 weeks,Ten-capsid 22-tissue head-to-head atlas with sex effects,A mouse atlas; permanent Cre labeling and qPCR answer different biological questions,https://pubmed.ncbi.nlm.nih.gov/39863928/
yang_2025,2025,A comprehensive study of AAV tropism across C57BL/6 mice BALB/c mice and crab-eating macaques,21 natural and engineered capsids,C57BL/6; BALB/c; cynomolgus macaque,IV,barcoded vector DNA and RNA plus histology,3 weeks,Best current cross-strain and cross-species comparison for LK03 PHP.eB CAP-B10 rh10 and AAV1-AAV9,Pooled-library competition; NHP immune suppression and pre-existing antibodies; RNA depends on CAG cassette,https://pmc.ncbi.nlm.nih.gov/articles/PMC11919325/
abele_2025,2025,Mapping administration route-dependent transduction profiles of commonly used AAV variants in mice by barcode amplicon sequencing,34 natural and engineered capsids,male C57BL/6 mouse,IV and intraperitoneal,barcoded vector DNA and RNA,14 d,Demonstrates that capsid preference must be conditioned on route; includes PHP.eB and lung-targeted AAV2-ESGHGYF,Pooled-library mouse study; IV/IP results cannot be transferred directly to IT ICM or human,https://pubmed.ncbi.nlm.nih.gov/40337478/
zolgensma_fda_label,current,ZOLGENSMA US prescribing information,AAV9,pediatric human SMA,IV,clinical dose plus shedding qPCR and two-patient postmortem biodistribution,day 1-18 mo,Clinical context for 1.1e14 vg/kg dose; liver-dominant human vector DNA with broad tissue detection,Product payload age disease and postmortem sampling differ from the reference-adult model,https://www.fda.gov/media/126109/download
fong_2022,2022,Interindividual variability in transgene mRNA and protein production following AAV gene therapy for hemophilia A,AAV5,adult human hemophilia A,IV,liver biopsy vector DNA episome RNA and protein,2.6-4.1 y,Direct human evidence that transcriptionally competent liver episomes persist for multiple years,Small biopsy substudy; AAV5 FVIII cassette and liver-specific context do not identify a universal decay half-life,https://pmc.ncbi.nlm.nih.gov/articles/PMC9018415/
mueller_2017,2017,Recombinant AAV vector genomes take the form of long-lived transcriptionally competent episomes in human muscle,AAV1,adult human alpha-1 antitrypsin deficiency,intramuscular,muscle biopsy vector genomes molecular forms and expression,up to 5 y,Direct human evidence for multiyear circular episome persistence in skeletal muscle,Local IM AAV1 and muscle biopsy results do not calibrate systemic AAV9 delivery,https://pmc.ncbi.nlm.nih.gov/articles/PMC5374867/
lek_2023,2023,Death after high-dose rAAV9 gene therapy in a patient with Duchenne muscular dystrophy,AAV9,adult human DMD,IV,postmortem qPCR ddPCR tissue vector genomes and transgene analysis,acute post-dose,Human AAV9 observation supporting liver-high distribution and showing substantial lung and heart genomes,Single fatal case with severe disease and high-dose investigational product; not a normal PK time course,https://www.nejm.org/doi/full/10.1056/NEJMoa2307798
