route_id,route,capsid_id,capsid,organ,current_dose_vg,current_dose_vg_per_kg,current_auc_isf_amount_vg_h,reference_id,reference_product,reference_auc_isf_amount_vg_h,conservative_reference_auc_isf_amount_vg_h,exposure_margin_reference_over_current,conservative_margin_over_current,assessment,evidence_grade,inference_class,uncertainty_factor,comparator_scope,evidence_note,source_url
iv,Peripheral intravenous,aav2,AAV2,brain,2800000000000000.0,40000000000000.0,4284333416421.1143,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,1111121818160.1973,111112181816.01973,0.259345319367876,0.025934531936787603,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,heart,2800000000000000.0,40000000000000.0,67419983029864.34,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,8840005775237.363,884000577523.7363,0.13111848116784006,0.013111848116784005,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,kidney,2800000000000000.0,40000000000000.0,174279836978513.44,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,14905650444680.781,1490565044468.0781,0.08552710802982025,0.008552710802982024,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,liver,2800000000000000.0,40000000000000.0,905087819304261.5,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,105628900965252.38,10562890096525.238,0.11670569276520484,0.011670569276520484,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,lung,2800000000000000.0,40000000000000.0,807027502043650.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,44908847672261.47,4490884767226.147,0.05564723328329951,0.005564723328329952,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,muscle,2800000000000000.0,40000000000000.0,2052060479885506.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,307833811089335.75,30783381108933.58,0.150012055739464,0.015001205573946401,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,rest,2800000000000000.0,40000000000000.0,3654270697356419.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,380237318107325.25,38023731810732.52,0.10405286022800593,0.010405286022800593,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav2,AAV2,spleen,2800000000000000.0,40000000000000.0,164789320370581.94,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,9185386347612.367,918538634761.2368,0.0557401798062888,0.005574017980628881,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav5,AAV5,brain,2800000000000000.0,40000000000000.0,4732579210592.19,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),7098868815888.285,5324151611916.214,1.5,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,heart,2800000000000000.0,40000000000000.0,60629703186547.17,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),90944554779820.75,68208416084865.56,1.4999999999999998,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
