capsid_id,capsid,target,model_organ,route,specificity_log10,target_concentration_auc_vg_h_ml,target_exposure_share_pct,peak_post_barrier_delivery_pct,tmax_h,tropism_multiplier,episome_half_life_days_prior,persistence_factor,evidence,species,source,model_status,max_mass_balance_error,expression_competent_episome_auc_signal,peak_vector_expression_signal,transduction_model,relative_delivery,predicted_protein_restoration_pct,peak_restoration_day,therapeutic_onset_days,therapeutic_window_days,effective_duration_days,therapeutic_threshold_pct,persistence_censored_at_730d,pd_episome_loss_rate_per_day,pd_sineup_rna_half_life_days,pd_target_protein_half_life_days,cns_profile,cns_depth_mm,cns_cell_access_factor,cns_target_layer_auc_fraction_pct
aav2,AAV2,CNS,brain,IV,-2.318209068476801,10347714892.441442,0.03268231226593537,0.0017726020683482063,16.9875,0.16,365.0,0.95,medium,preclinical + clinical ocular,https://pubmed.ncbi.nlm.nih.gov/18414476/,ode-derived,8.127267020089285e-13,1526.7505766594277,0.03702050827911306,native ode1.0 intracellular module,0.019730876150966525,57.37156349715733,16.0,0.0,0.0,0.0,65.0,False,0.0019989824962074847,0.25,2.0,,,,
aav5,AAV5,CNS,brain,IV,-2.363715848905217,11431025195.361273,0.030211310809251317,0.0019554436405591347,17.125,0.18,365.0,0.9,medium,preclinical,https://pubmed.ncbi.nlm.nih.gov/39863928/,ode-derived,5.316162109375e-13,1681.800601403126,0.04157327263815819,native ode1.0 intracellular module,0.021734656520983466,57.95018755645028,15.75,0.0,0.0,0.0,65.0,False,0.0021100370793301227,0.25,2.0,,,,
aav8,AAV8,CNS,brain,IV,-2.596712605882748,8581292346.79941,0.012873313784363025,0.001425763823621938,17.33125,0.14,365.0,1.0,strong,mouse + NHP,https://doi.org/10.1016/j.xphs.2023.10.005,ode-derived,2.1687825520833342e-13,1237.0352021325627,0.028753766778873955,native ode1.0 intracellular module,0.0159867556238743,56.214207057915765,16.0,0.0,0.0,0.0,65.0,False,0.0018990333713971104,0.25,2.0,,,,
aav9,AAV9,CNS,brain,IV,-1.7792239841772273,51294258224.30847,0.08162870145989676,0.009430371277708093,14.925,1.0,365.0,1.0,strong,mouse + NHP,https://pmc.ncbi.nlm.nih.gov/articles/PMC11404148/,ode-derived,4.229125976562502e-13,8210.413325304162,0.27940318168136763,native ode1.0 intracellular module,0.1061068198999991,71.19136808689211,17.75,4.0,371.25,375.25,65.0,False,0.0018990333713971104,0.25,2.0,,,,
aavrh10,AAVrh.10,CNS,brain,IV,-1.5793690572530483,74916466615.5644,0.12563230304416514,0.014295382869429583,14.2375,1.55,365.0,1.0,medium,NHP,https://pmc.ncbi.nlm.nih.gov/articles/PMC11919325/,ode-derived,4.3529934353298605e-13,12382.892111287012,0.4578588910693909,native ode1.0 intracellular module,0.1600296173938083,74.76403955855913,18.5,3.0,588.75,591.75,65.0,False,0.0018990333713971104,0.25,2.0,,,,
php-eb,PHP.eB,CNS,brain,IV,-0.8376242721709978,363760251107.5104,0.6637195323539401,0.08911763044134102,10.525,12.0,365.0,0.95,exploratory,Ly6a-positive mouse only,https://pmc.ncbi.nlm.nih.gov/articles/PMC7193641/,ode-derived,5.745951334635418e-13,68149.50188451818,3.5538374554729013,native ode1.0 intracellular module,0.8807262967443037,84.0157318663507,22.25,2.0,728.0,730.0,65.0,True,0.0019989824962074847,0.25,2.0,,,,
cap-b10,CAP-B10,CNS,brain,IV,-0.687878337393121,408401492395.42053,0.8519984762489088,0.10422562693542287,10.043750000000001,14.0,365.0,0.95,exploratory,mouse,https://pmc.ncbi.nlm.nih.gov/articles/PMC11919325/,ode-derived,8.028793334960942e-13,77378.75221443926,4.139389304052025,native ode1.0 intracellular module,1.0,84.35788531921365,22.5,2.0,728.0,730.0,65.0,True,0.0019989824962074847,0.25,2.0,,,,
lk03,AAV-LK03,CNS,brain,IV,-2.712331531031051,6397922931.210934,0.011549474613702494,0.001054201569720145,18.01875,0.1,365.0,1.05,exploratory,human-hepatocyte prior,https://pmc.ncbi.nlm.nih.gov/articles/PMC11919325/,ode-derived,3.5815429687499975e-13,906.2871307763743,0.01978203419202691,native ode1.0 intracellular module,0.011712351321778702,54.77172977480643,16.0,0.0,0.0,0.0,65.0,False,0.0018086032108543908,0.25,2.0,,,,
aav2,AAV2,Liver,liver,IV,0.36649539114721724,3499985893080.662,26.254166117682367,3.6751707011842325,4.54375,0.3,1095.0,0.95,medium,preclinical + clinical ocular,https://pubmed.ncbi.nlm.nih.gov/18414476/,ode-derived,8.127267020089285e-13,1919.5318782159804,488.2562574955609,native ode1.0 intracellular module,0.9986523592082137,84.42419605093637,25.75,2.0,728.0,730.0,65.0,True,0.0006663274987358282,0.25,2.0,,,,
aav5,AAV5,Liver,liver,IV,0.4261790619738966,4716022027495.194,29.602188906919498,5.1687930196877705,4.0625,0.55,1095.0,0.9,medium,preclinical,https://pubmed.ncbi.nlm.nih.gov/39863928/,ode-derived,5.316162109375e-13,1920.3892312464527,488.4557579538712,native ode1.0 intracellular module,0.9990984042238095,84.4232268500785,25.75,2.0,728.0,730.0,65.0,True,0.0007033456931100409,0.25,2.0,,,,
