x_cm,C_final,B_bound,I_internal,E_epi
0,0.49793996,0.40636826,0.86471236,0.15305516
0.0055865922,0.49813077,0.40645834,0.86461699,0.15295658
0.011173184,0.49832176,0.40654847,0.86452154,0.15285804
0.016759777,0.49851293,0.40663864,0.86442598,0.1527595
0.022346369,0.49870428,0.40672887,0.8643303,0.15266099
0.027932961,0.49889582,0.40681914,0.8642345,0.15256248
0.033519553,0.49908754,0.40690946,0.86413858,0.15246398
0.039106145,0.49927944,0.40699983,0.86404253,0.15236549
0.044692737,0.49947152,0.40709024,0.86394635,0.15226701
0.05027933,0.49966378,0.4071807,0.86385005,0.15216854
0.055865922,0.49985623,0.40727122,0.86375363,0.15207009
0.061452514,0.50004886,0.40736177,0.86365707,0.15197164
0.067039106,0.50024168,0.40745238,0.8635604,0.1518732
0.072625698,0.50043467,0.40754304,0.86346359,0.15177477
0.078212291,0.50062786,0.40763374,0.86336666,0.15167634
0.083798883,0.50082122,0.40772449,0.8632696,0.15157793
0.089385475,0.50101477,0.40781529,0.86317241,0.15147953
0.094972067,0.5012085,0.40790614,0.8630751,0.15138114
0.10055866,0.50140242,0.40799703,0.86297766,0.15128275
0.10614525,0.50159653,0.40808797,0.86288009,0.15118438
0.11173184,0.50179081,0.40817896,0.86278239,0.15108601
0.11731844,0.50198529,0.40827,0.86268457,0.15098766
0.12290503,0.50217995,0.40836109,0.86258661,0.15088931
0.12849162,0.50237479,0.40845222,0.86248853,0.15079097
0.13407821,0.50256982,0.40854341,0.86239032,0.15069265
0.1396648,0.50276504,0.40863464,0.86229198,0.15059433
0.1452514,0.50296044,0.40872592,0.86219352,0.15049602
0.15083799,0.50315603,0.40881724,0.86209492,0.15039772
0.15642458,0.5033518,0.40890862,0.86199619,0.15029943
0.16201117,0.50354776,0.40900004,0.86189734,0.15020115
0.16759777,0.50374391,0.40909151,0.86179835,0.15010288
0.17318436,0.50394025,0.40918303,0.86169924,0.15000462
0.17877095,0.50413677,0.4092746,0.8616,0.14990637
0.18435754,0.50433349,0.40936622,0.86150062,0.14980812
0.18994413,0.50453038,0.40945788,0.86140112,0.14970989
0.19553073,0.50472747,0.40954959,0.86130149,0.14961167
0.20111732,0.50492475,0.40964136,0.86120172,0.14951345
0.20670391,0.50512221,0.40973316,0.86110183,0.14941525
0.2122905,0.50531987,0.40982502,0.86100181,0.14931705
0.21787709,0.50551771,0.40991693,0.86090165,0.14921887
0.22346369,0.50571574,0.41000888,0.86080137,0.14912069
0.22905028,0.50591396,0.41010088,0.86070095,0.14902252
0.23463687,0.50611237,0.41019293,0.8606004,0.14892437
0.24022346,0.50631098,0.41028503,0.86049972,0.14882622
0.24581006,0.50650977,0.41037718,0.86039891,0.14872808
0.25139665,0.50670875,0.41046937,0.86029797,0.14862995
0.25698324,0.50690792,0.41056161,0.8601969,0.14853183
0.26256983,0.50710728,0.41065391,0.8600957,0.14843372
0.26815642,0.50730684,0.41074624,0.85999436,0.14833562
0.27374302,0.50750658,0.41083863,0.85989289,0.14823754
0.27932961,0.50770652,0.41093107,0.85979129,0.14813946
