x_cm,C_final,B_bound,I_internal,E_epi
0,0.15155632,0.27876299,0.63501599,0.11153232
0.0055865922,0.15158154,0.27881472,0.63450395,0.11127781
0.011173184,0.15160688,0.2788665,0.63399081,0.11102343
0.016759777,0.15163235,0.27891832,0.63347652,0.11076917
0.022346369,0.15165794,0.27897018,0.63296109,0.11051503
0.027932961,0.15168365,0.27902207,0.6324445,0.11026101
0.033519553,0.15170948,0.279074,0.63192675,0.11000711
0.039106145,0.15173544,0.27912596,0.63140784,0.10975332
0.044692737,0.15176152,0.27917795,0.63088776,0.10949966
0.05027933,0.15178772,0.27922998,0.63036652,0.10924612
0.055865922,0.15181405,0.27928203,0.62984411,0.1089927
0.061452514,0.1518405,0.27933412,0.62932053,0.1087394
0.067039106,0.15186707,0.27938623,0.62879577,0.10848622
0.072625698,0.15189377,0.27943837,0.62826984,0.10823316
0.078212291,0.15192059,0.27949053,0.62774273,0.10798023
0.083798883,0.15194754,0.27954272,0.62721444,0.10772743
0.089385475,0.15197461,0.27959493,0.62668496,0.10747475
0.094972067,0.15200181,0.27964716,0.6261543,0.10722219
0.10055866,0.15202913,0.27969941,0.62562245,0.10696976
0.10614525,0.15205657,0.27975168,0.62508941,0.10671747
0.11173184,0.15208414,0.27980396,0.62455518,0.10646529
0.11731844,0.15211184,0.27985627,0.62401976,0.10621325
0.12290503,0.15213966,0.27990858,0.62348314,0.10596134
0.12849162,0.15216761,0.27996091,0.62294532,0.10570956
0.13407821,0.15219568,0.28001324,0.62240629,0.10545791
0.1396648,0.15222388,0.28006559,0.62186607,0.1052064
0.1452514,0.1522522,0.28011795,0.62132464,0.10495501
0.15083799,0.15228065,0.28017031,0.62078201,0.10470376
0.15642458,0.15230922,0.28022268,0.62023816,0.10445265
0.16201117,0.15233793,0.28027505,0.6196931,0.10420167
0.16759777,0.15236675,0.28032742,0.61914683,0.10395083
0.17318436,0.15239571,0.28037979,0.61859935,0.10370012
0.17877095,0.15242479,0.28043217,0.61805064,0.10344955
0.18435754,0.152454,0.28048454,0.61750072,0.10319912
0.18994413,0.15248333,0.2805369,0.61694958,0.10294883
0.19553073,0.15251279,0.28058926,0.61639721,0.10269868
0.20111732,0.15254238,0.28064162,0.61584361,0.10244868
0.20670391,0.1525721,0.28069396,0.61528879,0.10219881
0.2122905,0.15260194,0.28074629,0.61473274,0.10194909
0.21787709,0.15263191,0.28079862,0.61417545,0.10169951
0.22346369,0.15266201,0.28085093,0.61361693,0.10145007
0.22905028,0.15269223,0.28090322,0.61305718,0.10120078
0.23463687,0.15272258,0.28095549,0.61249619,0.10095164
0.24022346,0.15275306,0.28100775,0.61193396,0.10070264
0.24581006,0.15278367,0.28105999,0.61137048,0.10045379
0.25139665,0.15281441,0.2811122,0.61080577,0.10020509
